country,year,value,units
Australia,1990,1255869.148687947,Kilotonne CO2 Equivalent
Australia,1991,1256022.1724815858,Kilotonne CO2 Equivalent
Australia,1992,1269240.324573761,Kilotonne CO2 Equivalent
Australia,1993,1271294.7976927564,Kilotonne CO2 Equivalent
Australia,1994,1272278.878117681,Kilotonne CO2 Equivalent
Australia,1995,1300435.952477564,Kilotonne CO2 Equivalent
Australia,1996,1319411.886684756,Kilotonne CO2 Equivalent
Australia,1997,1355165.1534439982,Kilotonne CO2 Equivalent
Australia,1998,1399146.3374154416,Kilotonne CO2 Equivalent
Australia,1999,1416737.9723328,Kilotonne CO2 Equivalent
Australia,2000,1450337.4799944693,Kilotonne CO2 Equivalent
Australia,2001,1474325.0878114267,Kilotonne CO2 Equivalent
Australia,2002,1484220.3023302017,Kilotonne CO2 Equivalent
Australia,2003,1485462.2579004087,Kilotonne CO2 Equivalent
Australia,2004,1535130.726062472,Kilotonne CO2 Equivalent
Australia,2005,1556552.2783871244,Kilotonne CO2 Equivalent
Australia,2006,1567551.5749898553,Kilotonne CO2 Equivalent
Australia,2007,1589528.6110274524,Kilotonne CO2 Equivalent
Australia,2008,1601080.5246221307,Kilotonne CO2 Equivalent
Australia,2009,1613669.677870851,Kilotonne CO2 Equivalent
Australia,2010,1601752.3088861704,Kilotonne CO2 Equivalent
Australia,2011,1602269.3960541268,Kilotonne CO2 Equivalent
Australia,2012,1612132.7143584145,Kilotonne CO2 Equivalent
Australia,2013,1580648.001799779,Kilotonne CO2 Equivalent
Australia,2014,1567191.272134041,Kilotonne CO2 Equivalent
Austria,1990,236533.88177860703,Kilotonne CO2 Equivalent
Austria,1991,247910.71039820582,Kilotonne CO2 Equivalent
Austria,1992,227792.98729546988,Kilotonne CO2 Equivalent
Austria,1993,227964.68112945362,Kilotonne CO2 Equivalent
Austria,1994,229510.45586354134,Kilotonne CO2 Equivalent
Austria,1995,239439.10360798682,Kilotonne CO2 Equivalent
Austria,1996,249026.41890026964,Kilotonne CO2 Equivalent
Austria,1997,247423.17609325534,Kilotonne CO2 Equivalent
Austria,1998,245312.51866893843,Kilotonne CO2 Equivalent
Austria,1999,240320.1515277396,Kilotonne CO2 Equivalent
Austria,2000,241288.03017895354,Kilotonne CO2 Equivalent
Austria,2001,253142.42065631226,Kilotonne CO2 Equivalent
Austria,2002,258388.63931587653,Kilotonne CO2 Equivalent
Austria,2003,276055.4434234817,Kilotonne CO2 Equivalent
Austria,2004,275507.68272308464,Kilotonne CO2 Equivalent
Austria,2005,278431.4615908602,Kilotonne CO2 Equivalent
Austria,2006,269943.0638489205,Kilotonne CO2 Equivalent
Austria,2007,261723.46359168814,Kilotonne CO2 Equivalent
Austria,2008,261303.40403138698,Kilotonne CO2 Equivalent
Austria,2009,240571.95431345468,Kilotonne CO2 Equivalent
Austria,2010,254838.05912930937,Kilotonne CO2 Equivalent
Austria,2011,247879.91405669073,Kilotonne CO2 Equivalent
Austria,2012,239691.34530653764,Kilotonne CO2 Equivalent
Austria,2013,240127.62552242875,Kilotonne CO2 Equivalent
Austria,2014,228997.85575797514,Kilotonne CO2 Equivalent
Belarus,1990,400371.486036261,Kilotonne CO2 Equivalent
Belarus,1991,376803.158783418,Kilotonne CO2 Equivalent
Belarus,1992,349766.05939373403,Kilotonne CO2 Equivalent
Belarus,1993,311854.575768057,Kilotonne CO2 Equivalent
Belarus,1994,264619.0702206,Kilotonne CO2 Equivalent
Belarus,1995,241109.347036197,Kilotonne CO2 Equivalent
Belarus,1996,247125.582658032,Kilotonne CO2 Equivalent
Belarus,1997,258847.517811546,Kilotonne CO2 Equivalent
Belarus,1998,248006.494685913,Kilotonne CO2 Equivalent
Belarus,1999,238493.52617012998,Kilotonne CO2 Equivalent
Belarus,2000,233879.174877969,Kilotonne CO2 Equivalent
Belarus,2001,233765.4827745,Kilotonne CO2 Equivalent
Belarus,2002,230051.60365545,Kilotonne CO2 Equivalent
Belarus,2003,237476.156466081,Kilotonne CO2 Equivalent
Belarus,2004,251064.898702008,Kilotonne CO2 Equivalent
Belarus,2005,256788.296098566,Kilotonne CO2 Equivalent
Belarus,2006,268348.966338834,Kilotonne CO2 Equivalent
Belarus,2007,266761.925844264,Kilotonne CO2 Equivalent
Belarus,2008,277093.04691532796,Kilotonne CO2 Equivalent
Belarus,2009,267670.96877697,Kilotonne CO2 Equivalent
Belarus,2010,273550.648074468,Kilotonne CO2 Equivalent
Belarus,2011,275015.18102871603,Kilotonne CO2 Equivalent
Belarus,2012,272775.343745811,Kilotonne CO2 Equivalent
Belarus,2013,279111.73633998004,Kilotonne CO2 Equivalent
Belarus,2014,275686.93967345404,Kilotonne CO2 Equivalent
Belgium,1990,438063.7102817468,Kilotonne CO2 Equivalent
Belgium,1991,446477.0982253166,Kilotonne CO2 Equivalent
Belgium,1992,445154.1804508672,Kilotonne CO2 Equivalent
Belgium,1993,442180.1838932549,Kilotonne CO2 Equivalent
Belgium,1994,455647.11757978785,Kilotonne CO2 Equivalent
Belgium,1995,462060.8811106165,Kilotonne CO2 Equivalent
Belgium,1996,472970.06134884025,Kilotonne CO2 Equivalent
Belgium,1997,447490.36774149624,Kilotonne CO2 Equivalent
Belgium,1998,463021.17860359786,Kilotonne CO2 Equivalent
Belgium,1999,444187.3308584162,Kilotonne CO2 Equivalent
Belgium,2000,447639.05173639423,Kilotonne CO2 Equivalent
Belgium,2001,442878.40045878623,Kilotonne CO2 Equivalent
Belgium,2002,441721.0958403901,Kilotonne CO2 Equivalent
Belgium,2003,442737.2090826187,Kilotonne CO2 Equivalent
Belgium,2004,446914.2142963888,Kilotonne CO2 Equivalent
Belgium,2005,434409.24609093904,Kilotonne CO2 Equivalent
Belgium,2006,423140.1225203583,Kilotonne CO2 Equivalent
Belgium,2007,409354.0178075432,Kilotonne CO2 Equivalent
Belgium,2008,416248.8781705951,Kilotonne CO2 Equivalent
Belgium,2009,377435.4060914008,Kilotonne CO2 Equivalent
Belgium,2010,399775.21698521404,Kilotonne CO2 Equivalent
Belgium,2011,368500.18653695117,Kilotonne CO2 Equivalent
Belgium,2012,356284.0145696615,Kilotonne CO2 Equivalent
Belgium,2013,358125.9045463415,Kilotonne CO2 Equivalent
Belgium,2014,341599.857001623,Kilotonne CO2 Equivalent
Bulgaria,1990,206901.56830180634,Kilotonne CO2 Equivalent
Bulgaria,1991,163852.03873481543,Kilotonne CO2 Equivalent
Bulgaria,1992,154398.69235698937,Kilotonne CO2 Equivalent
Bulgaria,1993,152390.5982581639,Kilotonne CO2 Equivalent
Bulgaria,1994,145531.2302044734,Kilotonne CO2 Equivalent
Bulgaria,1995,148524.16018870097,Kilotonne CO2 Equivalent
Bulgaria,1996,148762.17489819502,Kilotonne CO2 Equivalent
Bulgaria,1997,141808.84358210984,Kilotonne CO2 Equivalent
Bulgaria,1998,133697.32928247188,Kilotonne CO2 Equivalent
Bulgaria,1999,120180.21547860382,Kilotonne CO2 Equivalent
Bulgaria,2000,118310.11249677622,Kilotonne CO2 Equivalent
Bulgaria,2001,124442.6716636342,Kilotonne CO2 Equivalent
Bulgaria,2002,118564.01172933327,Kilotonne CO2 Equivalent
Bulgaria,2003,128042.7330131688,Kilotonne CO2 Equivalent
Bulgaria,2004,126461.45902239338,Kilotonne CO2 Equivalent
Bulgaria,2005,126917.80553335237,Kilotonne CO2 Equivalent
Bulgaria,2006,128236.79111486983,Kilotonne CO2 Equivalent
Bulgaria,2007,135884.83725758386,Kilotonne CO2 Equivalent
Bulgaria,2008,133450.6187144602,Kilotonne CO2 Equivalent
Bulgaria,2009,115671.9454709168,Kilotonne CO2 Equivalent
Bulgaria,2010,121038.39255695265,Kilotonne CO2 Equivalent
Bulgaria,2011,131715.2081693372,Kilotonne CO2 Equivalent
Bulgaria,2012,121446.98203036223,Kilotonne CO2 Equivalent
Bulgaria,2013,111194.05149285804,Kilotonne CO2 Equivalent
Bulgaria,2014,115615.18593928436,Kilotonne CO2 Equivalent
Canada,1990,1842640.2139184163,Kilotonne CO2 Equivalent
Canada,1991,1822957.361146,Kilotonne CO2 Equivalent
Canada,1992,1870661.5256239884,Kilotonne CO2 Equivalent
Canada,1993,1880636.5836397046,Kilotonne CO2 Equivalent
Canada,1994,1945015.5599603725,Kilotonne CO2 Equivalent
Canada,1995,2018992.9621786582,Kilotonne CO2 Equivalent
Canada,1996,2060077.0752175753,Kilotonne CO2 Equivalent
Canada,1997,2103451.2352213124,Kilotonne CO2 Equivalent
Canada,1998,2144145.16361893,Kilotonne CO2 Equivalent
Canada,1999,2172761.608479017,Kilotonne CO2 Equivalent
Canada,2000,2234472.454935227,Kilotonne CO2 Equivalent
Canada,2001,2204106.682345553,Kilotonne CO2 Equivalent
Canada,2002,2224670.0536170467,Kilotonne CO2 Equivalent
Canada,2003,2276049.1926285084,Kilotonne CO2 Equivalent
Canada,2004,2282171.5985999857,Kilotonne CO2 Equivalent
Canada,2005,2248813.1662346018,Kilotonne CO2 Equivalent
Canada,2006,2222501.190520699,Kilotonne CO2 Equivalent
Canada,2007,2282884.166598291,Kilotonne CO2 Equivalent
Canada,2008,2221593.1146795773,Kilotonne CO2 Equivalent
Canada,2009,2094722.8128129486,Kilotonne CO2 Equivalent
Canada,2010,2130983.8272597073,Kilotonne CO2 Equivalent
Canada,2011,2142391.4465276045,Kilotonne CO2 Equivalent
Canada,2012,2166169.6625267253,Kilotonne CO2 Equivalent
Canada,2013,2200271.314399485,Kilotonne CO2 Equivalent
Canada,2014,2212009.6390272607,Kilotonne CO2 Equivalent
Croatia,1990,93613.89379052189,Kilotonne CO2 Equivalent
Croatia,1991,73226.05135748578,Kilotonne CO2 Equivalent
Croatia,1992,67614.10170095699,Kilotonne CO2 Equivalent
Croatia,1993,67974.88345051944,Kilotonne CO2 Equivalent
Croatia,1994,65138.291930278865,Kilotonne CO2 Equivalent
Croatia,1995,66888.50174809528,Kilotonne CO2 Equivalent
Croatia,1996,68648.8894497804,Kilotonne CO2 Equivalent
Croatia,1997,72378.82129600731,Kilotonne CO2 Equivalent
Croatia,1998,73379.13253875686,Kilotonne CO2 Equivalent
Croatia,1999,76557.25009627642,Kilotonne CO2 Equivalent
Croatia,2000,75518.88856778196,Kilotonne CO2 Equivalent
