country,year,value,emission,units
Australia,2014,393126.946994288,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,2013,396913.93653029,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,2012,406462.8477036,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,2011,403705.528313991,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,2010,406200.993184341,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,2009,408448.47899963,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,2008,404237.828214077,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,2007,398816.453543549,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,2006,391134.100909449,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,2005,385581.132806466,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,2004,381519.261592783,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,2003,368345.977425107,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,2002,361861.387896028,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,2001,357653.329899303,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,2000,349885.433108928,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,1999,343713.906947774,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,1998,334328.142646602,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,1997,320439.116819391,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,1996,311914.819824229,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,1995,305162.543548735,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,1994,293830.709141192,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,1993,289142.267681326,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,1992,284766.092717838,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,1991,279741.639011863,CO2 Emissions,Kilotonne CO2 Equivalent
Australia,1990,278265.898940768,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,2014,64262.5639931315,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,2013,67957.1211123863,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,2012,67698.6586349119,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,2011,70327.1670444138,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,2010,72531.826129136,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,2009,67682.7251493548,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,2008,74066.2557920763,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,2007,74268.1107226333,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,2006,76934.9515340371,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,2005,79588.5018807541,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,2004,78388.9974250799,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,2003,78023.9538963192,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,2002,72126.5914446168,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,2001,70299.4711482287,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,2000,66274.7432545115,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,1999,65660.1336422327,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,1998,67047.2506680177,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,1997,67455.8927304212,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,1996,67667.2626980903,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,1995,64202.1592201769,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,1994,61189.1025048542,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,1993,60790.7577213156,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,1992,60432.2493410185,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,1991,65903.513308256,CO2 Emissions,Kilotonne CO2 Equivalent
Austria,1990,62297.1655681668,CO2 Emissions,Kilotonne CO2 Equivalent
Belarus,2014,60615.645730992,CO2 Emissions,Kilotonne CO2 Equivalent
Belarus,2013,61510.987153813,CO2 Emissions,Kilotonne CO2 Equivalent
