emission,year,value,units
CH4 Emissions,1990,3745046.097873619,Kilotonne CO2 Equivalent
CH4 Emissions,1991,3634010.0133283893,Kilotonne CO2 Equivalent
CH4 Emissions,1992,3505710.2907796036,Kilotonne CO2 Equivalent
CH4 Emissions,1993,3404185.5025395714,Kilotonne CO2 Equivalent
CH4 Emissions,1994,3314308.114104693,Kilotonne CO2 Equivalent
CH4 Emissions,1995,3274318.704424892,Kilotonne CO2 Equivalent
CH4 Emissions,1996,3242040.135528159,Kilotonne CO2 Equivalent
CH4 Emissions,1997,3187988.744105062,Kilotonne CO2 Equivalent
CH4 Emissions,1998,3126880.491299328,Kilotonne CO2 Equivalent
CH4 Emissions,1999,3086476.713854731,Kilotonne CO2 Equivalent
CH4 Emissions,2000,3068301.0826512575,Kilotonne CO2 Equivalent
CH4 Emissions,2001,3066743.6258713393,Kilotonne CO2 Equivalent
CH4 Emissions,2002,3044597.8093967773,Kilotonne CO2 Equivalent
CH4 Emissions,2003,3066741.5038729487,Kilotonne CO2 Equivalent
CH4 Emissions,2004,3063473.603284579,Kilotonne CO2 Equivalent
CH4 Emissions,2005,3064061.3926758273,Kilotonne CO2 Equivalent
CH4 Emissions,2006,3056149.783287879,Kilotonne CO2 Equivalent
CH4 Emissions,2007,3051411.3598072445,Kilotonne CO2 Equivalent
CH4 Emissions,2008,3035081.958156775,Kilotonne CO2 Equivalent
CH4 Emissions,2009,2968151.510283071,Kilotonne CO2 Equivalent
CH4 Emissions,2010,2958962.906547497,Kilotonne CO2 Equivalent
CH4 Emissions,2011,2952669.968587565,Kilotonne CO2 Equivalent
CH4 Emissions,2012,2949792.510610155,Kilotonne CO2 Equivalent
CH4 Emissions,2013,2932934.2609015275,Kilotonne CO2 Equivalent
CH4 Emissions,2014,2927075.801148685,Kilotonne CO2 Equivalent
CO2 Emissions,1990,19581337.255157333,Kilotonne CO2 Equivalent
CO2 Emissions,1991,19186341.40888191,Kilotonne CO2 Equivalent
CO2 Emissions,1992,18571773.10995995,Kilotonne CO2 Equivalent
CO2 Emissions,1993,18331101.10644628,Kilotonne CO2 Equivalent
CO2 Emissions,1994,18145892.42142626,Kilotonne CO2 Equivalent
CO2 Emissions,1995,18259887.247307975,Kilotonne CO2 Equivalent
CO2 Emissions,1996,18619411.070383035,Kilotonne CO2 Equivalent
CO2 Emissions,1997,18467809.665333424,Kilotonne CO2 Equivalent
CO2 Emissions,1998,18423934.189973496,Kilotonne CO2 Equivalent
CO2 Emissions,1999,18430210.985309362,Kilotonne CO2 Equivalent
CO2 Emissions,2000,18708673.12984988,Kilotonne CO2 Equivalent
